gender,ethnicity,lunch,parent_education,test_preparation,result
male,group A,standard,bachelor's degree,completed,pass
female,group B,free/reduced,high school,none,fail
female,group B,master's degree,standard,none,pass
male,group A,associate's degree,free/reduced,none,fail
male,group C,some college,standard,none,pass
female,group B,associate's degree,standard,none,pass
female,group B,some college,standard,completed,pass
male,group B,some college,free/reduced,none,fail
male,group D,high school,free/reduced,completed,fail
female,group B,high school,free/reduced,none,fail
male,group C,associate's degree,standard,none,fail
male,group D,associate's degree,standard,none,fail
